Синтезатор Ямаха	One of the all time great come hithers in movie advertising. “Look, do you want to see Patrick Swayze and Jennifer Grey dirty dancing? Of course you do. That’s what we got. You want deeply intellectual conversation, or probing political commentary? Look elsewhere. We’re dirty dancing over here.”	2023-06-09T08:46:46.095Z	shining.jpg	аккустика	34262435623456	аккустика	16993
Акустическая гитара Таврия	The phrase originated with Ringo, but it came to describe exactly the situation that spawned it. (The band had worked so long he didn’t realize what time it was, and start saying it was a hard day’s work and then switched mid-sentence to calling it a hard day’s night.) When you’ve been working like a dog, accept no substitute descriptor.	2023-06-14T08:46:46.096Z	draft.jpg	электро	1235123561436	электро	513206
Электрогитара Гибсон	Besides the fact that this was about as sexy as a movie title could be in 1959, there is an unspoken implication here by calling it “Some” Like It Hot, as if to ask the viewer, “Are you one of the some, or are you not?” By buying a ticket, you are almost joining a secret club.	2023-06-11T08:46:46.097Z	book.jpg	аккустика	12345123512451435	аккустика	326439
Синтезатор Ямаха	It’s a title that is at once extremely descriptive and also very mysterious. If you’re a UFO expert, you know what it means (an interaction between a human and a physical alien presence) but even if you don’t, the notion of a “close” encounter lets you know where this film is headed.	2023-06-10T08:46:46.097Z	dark-tower.jpg	укулеле	534624365234626342	аккустика	371838
Электрогитара Гибсон	The title is technically nonsense — there is no such thing as “north by northwest” on a compass — which is partly why Hitchcock liked it. (“It’s a fantasy,” Hitchcock noted in an interview, explaining that the made-up title is the ideal name for a film in which very little is what it appears to be at first glance.)	2023-06-13T08:46:46.097Z	shining.jpg	укулеле	12345123512451435	электро	842075
Акустическая гитара Таврия	This title suggests an air of eternal romance. When your movie is about a pair of vampires, it doesn’t get much better than that.	2023-06-10T08:46:46.097Z	dark-tower.jpg	укулеле	34262435623456	укулеле	243417
Акустическая гитара Таврия	This title suggests an air of eternal romance. When your movie is about a pair of vampires, it doesn’t get much better than that.	2023-06-08T08:46:46.097Z	draft.jpg	аккустика	34262435623456	аккустика	65425
Синтезатор Ямаха	Besides the fact that this was about as sexy as a movie title could be in 1959, there is an unspoken implication here by calling it “Some” Like It Hot, as if to ask the viewer, “Are you one of the some, or are you not?” By buying a ticket, you are almost joining a secret club.	2023-06-13T08:46:46.097Z	dark-tower.jpg	аккустика	1235123561436	аккустика	952823
Синтезатор Ямаха	Besides the fact that this was about as sexy as a movie title could be in 1959, there is an unspoken implication here by calling it “Some” Like It Hot, as if to ask the viewer, “Are you one of the some, or are you not?” By buying a ticket, you are almost joining a secret club.	2023-06-13T08:46:46.097Z	draft.jpg	аккустика	534624365234626342	аккустика	327102
Акустическая гитара Таврия	This title suggests an air of eternal romance. When your movie is about a pair of vampires, it doesn’t get much better than that.	2023-06-11T08:46:46.098Z	institute-book.jpg	укулеле	34262435623456	электро	764673
Синтезатор Ямаха	The phrase originated with Ringo, but it came to describe exactly the situation that spawned it. (The band had worked so long he didn’t realize what time it was, and start saying it was a hard day’s work and then switched mid-sentence to calling it a hard day’s night.) When you’ve been working like a dog, accept no substitute descriptor.	2023-06-10T08:46:46.098Z	shining.jpg	электро	1235123561436	электро	421221
